slot,pmm,market,src_token,dst_token,amount_in,amount_out,compute_units
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,1.0,122.888121,80641
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,2.0,245.776242,80641
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,3.0,368.664365,80654
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,4.0,491.552486,80641
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,5.0,614.439464,81452
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,6.0,737.326357,81452
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,7.0,860.213249,81452
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,8.0,983.100142,81373
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,9.0,1105.987036,81567
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,10.0,1228.873929,81562
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,11.0,1351.760821,81628
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,12.0,1474.647714,81615
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,13.0,1597.533632,82433
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,14.0,1720.419296,82367
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,15.0,1843.30496,82367
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,16.0,1966.190624,82446
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,17.0,2089.076288,82367
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,18.0,2211.961952,82367
389141466,tessera,FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,WSOL,USDC,19.0,2334.847616,82433
